run_id,experiment,seed,config_json
6d0a0faede72becea85f0c0512bbc3723c299ddb4096e36ab51e2dadd19b8f0d,calibration_probe,0,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 80, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 100, ""num_humans"": 50, ""replan_every"": 40, ""safety_radius"": 1, ""seed"": 0, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
a6f581b51b25e40171c7e14d182b616a7228cf6bc8242254f45e9d145c42e3f1,calibration_probe,1,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 80, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 100, ""num_humans"": 50, ""replan_every"": 40, ""safety_radius"": 1, ""seed"": 1, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
aa6af501227f80f2d4ed4082b5d0a203de1376fe07bd28825910fdb6e9b4ae8d,calibration_probe,2,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 80, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 100, ""num_humans"": 50, ""replan_every"": 40, ""safety_radius"": 1, ""seed"": 2, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
484b828e53a5d3df923afbe48c7f598619139e54d1c9a1a0e1092e756f475e22,calibration_probe,0,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 60, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 100, ""num_humans"": 50, ""replan_every"": 30, ""safety_radius"": 1, ""seed"": 0, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
cb3756c9348e7ac4fcc966ebc145091732d0465e0f15883b0f1cbdf067f584c5,calibration_probe,1,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 60, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 100, ""num_humans"": 50, ""replan_every"": 30, ""safety_radius"": 1, ""seed"": 1, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
4074af7497fbae72ae2be671f75762e99f5ba0ad7a00db6ee1044faffd672d91,calibration_probe,2,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 60, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 100, ""num_humans"": 50, ""replan_every"": 30, ""safety_radius"": 1, ""seed"": 2, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
9dc29d5cb9024667fdb292f1787273b8fa29e04b0e3e6084626d868188456907,calibration_probe,0,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 80, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 75, ""num_humans"": 50, ""replan_every"": 40, ""safety_radius"": 1, ""seed"": 0, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
b1a270dd9ffc417c3630d5d111918286b86d61918a9126c6ab09f9d9c0c3d3a0,calibration_probe,1,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 80, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 75, ""num_humans"": 50, ""replan_every"": 40, ""safety_radius"": 1, ""seed"": 1, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
8f1ace73cec5578c4e7a69b6073af40c5f68ec97f874703305a159364e9c3af0,calibration_probe,2,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 80, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 75, ""num_humans"": 50, ""replan_every"": 40, ""safety_radius"": 1, ""seed"": 2, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
cb67283b37c447b0a41eb4f179b25217a0e35088ba9222356ca19886bf424d99,calibration_probe,0,"{""algorithm_variant"": ""baseline"", ""communication_mode"": ""priority"", ""fov_radius"": 4, ""global_solver"": ""lacam_official"", ""hard_safety"": true, ""horizon"": 60, ""human_model"": ""random_walk"", ""humans_block_on_agent_cells"": false, ""local_planner"": ""astar"", ""log_violations_timeline"": false, ""map_path"": ""data/maps/warehouse-10-20-10-2-2.map"", ""map_to_human_model"": {""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}, ""method"": ""ours"", ""mode"": ""lifelong"", ""num_agents"": 75, ""num_humans"": 50, ""replan_every"": 30, ""safety_radius"": 1, ""seed"": 0, ""solver_timeout_s"": 30.0, ""steps"": 2000, ""task_allocator"": ""congestion_avoidance""}"
